Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
1170/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Augusto e la Sibilla,bronzo dorato,http://93.62.170.226/foto/1170_B part.jpg
1284/B,Scuola francese,,XVII secolo,Autunno e Inverno,bronzo,http://93.62.170.226/foto/1284_B.jpg
1204/B,Scuola francese,,XVII secolo,Autunno e Inverno,bronzo,http://93.62.170.226/foto/1204_B.jpg
1114/B,Scuola fiamminga (?),,XVII secolo (?),Baccanale,Bronzo (?),http://93.62.170.226/foto/1114_B.jpg
1200/B,Scuola tedesca (?),,fine XVI secolo,Baccanale - Lotta di Ercole,bronzo,http://93.62.170.226/foto/1200_B.jpg
1164/B,Dall'antico,,fine XV secolo,Bacco scopre Arianna a Nasso.,bronzo,http://93.62.170.226/foto/1164_B.jpg
,Belli detto Valerio Vicentino - Valerio,,1465 - post 1564,Bacio di Giuda,Bronzo (?),http://93.62.170.226/foto/1124_B.jpg
1179/B,Belli detto Valerio Vicentino (?) - Valerio,,1465 - post 1564 (?),Battesimo di Cristo,bronzo,http://93.62.170.226/foto/1179_B.jpg
1261/B,Ignoto,,XVII secolo (?),Battesimo di Cristo.,bronzo,http://93.62.170.226/foto/1261_B.jpg
0256/LE,Villa Vittorio,,XVI secolo,biga a due cavalli,pelle,http://93.62.170.226/foto/LE256.jpg
0031/LE,,,XVII secolo,Busta napoletana vuota,pelle,http://93.62.170.226/foto/LE31.jpg
0186/LE,,,XVIII secolo,Busta vuota ad armi,Velluto di seta tagliato unito ricamato con filo argentato e filo di seta - imbottitura in carta e in tela,http://93.62.170.226/foto/LE186.jpg
1108/B,Ignoto,,XV secolo,Busto di Angelo Gambiglioni,,http://93.62.170.226/foto/1108_B.jpg
1145/B,Ignoto,,metà XVI secolo,Busto di Claudio,bronzo,http://93.62.170.226/foto/1145_B.jpg
1254/B,Scuola dell'Italia del Nord,,XVI secolo,Busto di Cristo.,bronzo,http://93.62.170.226/foto/1254_B recto.jpg
1286/B,Ignoto,,XVI secolo (?),Busto di donna.,bronzo dorato e smalto colorato (verde e bianco).,http://93.62.170.226/foto/1286_B part.jpg
1207/B,Ignoto,,1900,Busto di Emma Gramatica,piombo (?),http://93.62.170.226/foto/1207_B.jpg
1299/B,Dall'antico,,XV secolo,Busto di Flora.,bronzo,http://93.62.170.226/foto/1299_B 2.jpg
1260/B,Ignoto,,XVIII secolo (?),Busto di gentiluomo del Setecento.,bronzo,http://93.62.170.226/foto/1260_B.jpg
1239/B,Ignoto,,XV secolo,Busto di Giove.,bronzo,http://93.62.170.226/foto/1240_B.jpg
1153/B,Signoretti Gian Antonio,,fine XVI - inizio XVII secolo,Busto di Giulia Pratonieri,bronzo (?),http://93.62.170.226/foto/1153_B.jpg
1182/B,Ignoto,,XV secolo (?),Busto di Giulio Cesare,bronzo,http://93.62.170.226/foto/1182_B.jpg
1098/B,Cristoforo di Geremia (?),,XV secolo seconda metà (?),Busto di imperatore romano,Bronzo,http://93.62.170.226/foto/1098_B.jpg
1309/B,Ignoto,,XV secolo (?),Busto di Sileno.,ottone (?),http://93.62.170.226/foto/1309_B 1.jpg
1115/B,Ignoto,,XIX secolo (?),Busto femminile,bronzo,http://93.62.170.226/foto/1115_B.jpg
1265/B,Ignoto,,fine XVI - inizio XVII secolo (?),Caccia al cinghiale.,bronzo (?),http://93.62.170.226/foto/1265_B.jpg
1167/B,Belli detto Valerio Vicentino - Valerio,,1465 - dopo il 1564,Caccia al Leone,bronzo,http://93.62.170.226/foto/1167_B.jpg
1100/B,Galeazzo Mondella detto Moderno,,XV-XVI,Caccia al leone,Bronzo,http://93.62.170.226/foto/1100_B.jpg
1236/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Caccia al leone,Bronzo,http://93.62.170.226/foto/1236_B.jpg
1177/B,Galeazzo Mondella detto Moderno,,1487 ca.,Caco che ruba le giovenche di Ercole,bronzo,http://93.62.170.226/foto/1177_B.jpg
1094/B,Moderno (bottega?),,XVI secolo prima metà,Caco ruba le giovenche di Ercole,Bronzo,http://93.62.170.226/foto/1094_B1.jpg
1281/B,Della Porta Guglielmo,,1500 ca. - 1577,Caduta di Fetonte.,bronzo,http://93.62.170.226/foto/1281_B.jpg
1278/B,Dall'antico,,XV secolo,Caracalla.,bronzo,http://93.62.170.226/foto/1278_B.jpg
0241/AV,,,fine XIX secolo,Carnet,madreperla - argento - avorio (?),http://93.62.170.226/foto/AV241.jpg
0243/AV,,,fine XIX secolo,Carnet,Madreperla - cartone - raso - lega metallica dorata,http://93.62.170.226/foto/AV243.jpg
0310/VD,,,primo quarto XIX secolo,Carnet a forma di libro con stilo metallico,lega metallica - vetro dorato e dipinto - tessuto,http://93.62.170.226/foto/VD310ter.jpg
0004/OV,,,inizio XIX secolo,Carnet con astuccio e stilo,corno - lega metallica - tessuto,http://93.62.170.226/foto/OV4.jpg
0240/AV,,arte francese,fine XIX secolo,Carnet con lapis,avorio (celluloide? bachelite?) - argento - tessuto,http://93.62.170.226/foto/AV240bis.jpg
0266/LE,,Torino,XVIII secolo,Cartella su Per le auguste nozze del R.le Principe di Piemonte con Madama Clotilde di Francia,marocchino,http://93.62.170.226/foto/LE266.jpg
1256/B,Belli (?) Valerio,,1468 - post 1546 (?),Cattura di Cristo.,piombo (?),http://93.62.170.226/foto/1256_B.jpg
1132/B,Ignoto,,XVI secolo prima metà,Cattura di San Paolo (?),bronzo,http://93.62.170.226/foto/1132_B.jpg
1235/B,Dall'antico,,XV secolo seconda metà,Centauro.,bronzo,http://93.62.170.226/foto/1235_B.jpg
1199/B,Ignoto,,XVII secolo (?),Cibele con leone e serpente,bronzo,http://93.62.170.226/foto/1199_B.jpg
1149/B,Ignoto,,XVI secolo (?),Collegio dei militi di Loreto,bronzo,http://93.62.170.226/foto/1149_B.jpg
1155/B,Scuola tedesca,,metà XVI secolo,Combattimento di mostri marini,bronzo,http://93.62.170.226/foto/1155_B.jpg
1211/B,Scuola tedesca,,metà XVI secolo,Combattimento di mostri marini,bronzo,http://93.62.170.226/foto/1211_B.jpg
1238/B,Scuola tedesca (?),,metà XVI secolo,Combattimento di mostri marini,bronzo,http://93.62.170.226/foto/1238_B.jpg
1205/B,Lotti - detto Lorenzetto (?) Lorenzo,,XVI secolo prima metà,Compianto su Cristo morto,piombo,http://93.62.170.226/foto/1205_B.jpg
1127/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Continenza di Scipione,Bronzo laccato nero (?),http://93.62.170.226/foto/1127_B.jpg
1255/B,Belli Valerio,,1468 - post 1546,Continenza di Scipione (?),bronzo,http://93.62.170.226/foto/1255_B.jpg
1290/B,Della Porta Guglielmo,,1500 ca. - 1577,Convito degli Dei.,bronzo,http://93.62.170.226/foto/1290_B 2.jpg
1405/DS,,,XVIII secolo,Coperta di recupero su album di disegni decorativi opera del colonnello Francesco Petri - con dedica,marocchino - inchiostro su carta,http://93.62.170.226/foto/DS1405.jpg
0259/LE,,,XVII secolo (?),Coperta vuota di legatura,cuoio,http://93.62.170.226/foto/LE259.jpg
1112/B,Scuola di Padova,,fine XV - inizio XVI secolo,Cristo morto con la Vergine e San Giovanni,bronzo,http://93.62.170.226/foto/1112_B.jpg
1223/B,Galeazzo Mondella detto Moderno,,1486 - 1489,Crocefissione,bronzo,http://93.62.170.226/foto/1223_B.jpg
1229/B,Galeazzo Mondella detto Moderno,,fine XV secolo,Crocefissione.,bronzo dorato (ad eccezione del listello perimetrale - non dorato),http://93.62.170.226/foto/1229_B.jpg
1099/B,Ignoto,,XVIII secolo inizio (?),Crocifissione,Bronzo,http://93.62.170.226/foto/1099_B.jpg
1215/B,Galeazzo Mondella detto Moderno,,fine XV secolo,Davide e Golia,bronzo,http://93.62.170.226/foto/1215_B.jpg
1154/B,Scuola di Padova (?),,XVI secolo (?),Deposizione dalla croce e Sepoltura di Cristo,bronzo dorato (?),http://93.62.170.226/foto/1154_B.jpg
1227/B,Galeazzo Mondella detto Moderno,,1490 ca.,Deposizione nel sepolcro,bronzo,http://93.62.170.226/foto/1227_B.jpg
1175/B,Dall'antico,,seconda metà XV secolo,Diomede col Palladio,bronzo,http://93.62.170.226/foto/1175_B part.jpg
1096/B,Galeazzo Mondella detto Moderno,Italia settentrionale,ca. 1490,Diva Faustina,Bronzo dorato,http://93.62.170.226/foto/1096_B verso.jpg
1190/B,Ignoto,,inizio XVII secolo (?),Donna con colomba,bronzo,http://93.62.170.226/foto/1190_B.jpg
1104/B,Ignoto,,XVI secolo (?),Ecce Homo,bronzo,http://93.62.170.226/foto/1104_B.jpg
,Belli detto Valerio Vicentino - Valerio,,1465 - post 1564,Ercole al bivio,bronzo,http://93.62.170.226/foto/1178_B.jpg
1107/B,Gambello detto Camelio (?) Vittore,,XV secolo,Ercole d'Este (?),bronzo,http://93.62.170.226/foto/1107_B.jpg
1116/B,Belli detto Valerio Vicentino - Valerio,,1465 - dopo il 1564 (?),Ercole e Anteo,Bronzo (?),http://93.62.170.226/foto/1116_B.jpg
1222/B,Galeazzo Mondella detto Moderno,,1488 - 1498,Ercole e Anteo.,bronzo,http://93.62.170.226/foto/1222_B.jpg
1253/B,Galeazzo Mondella detto Moderno,,1488 - 1489,Ercole e Anteo.,piombo,http://93.62.170.226/foto/1253_B.jpg
1169/B,Bottega del Moderno,,primo quarto XVI secolo,Ercole e il leone Nemeo,bronzo,http://93.62.170.226/foto/1169_B.jpg
1228/B,B.C.,,fine XVII - inizio XIX secolo (?),Ercole e Onfale.,bronzo,http://93.62.170.226/foto/1228_B.jpg
1130/B,Ignoto,,XV secolo,Ermafrodita e amorini,bronzo,http://93.62.170.226/foto/1130_B.jpg
1275/B,Dall'antico,,XV secolo,Ermafrodito e amorini.,bronzo,http://93.62.170.226/foto/1275_B part.jpg
1241/B,Ignoto,,XVIII secolo,Eugenio di Savoia alla Battaglia di Belgio.,bronzo,http://93.62.170.226/foto/1241_B.jpg
1251/B,Ignoto,,inizio XVII secolo (?),Figura maschile genuflessa a mani giunte.,bronzo,http://93.62.170.226/foto/1251_B.jpg
1097/B,Galeazzo Mondella detto Moderno,,XVI secolo prima metà,Flagellazione di Cristo,Bronzo,http://93.62.170.226/foto/1097_B.jpg
1183/B,Leone Leoni o Jacopo Nizzolla da Trezzo - detto Jacopo da Trezzo (?),,XVI secolo,Fontana delle Scienze,bronzo,http://93.62.170.226/foto/1183_B.jpg
0041/LE,,,XVIII secolo,fregi,pelle,http://93.62.170.226/foto/LE41.jpg
0013/LE,,arte napoletana,XVIII secolo,fregi,vitello,http://93.62.170.226/foto/13LE.jpg
0235/LE,,,XVI secolo,fregi,pelle di scrofa,http://93.62.170.226/foto/LE235.jpg
0224/LE,,,XVI secolo,fregi,pelle di scrofa,http://93.62.170.226/foto/LE224.jpg
0221/LE,Theodorus di Reynsburg,,1478,fregi,pelle marrone - legno,http://93.62.170.226/foto/LE221Bbis.jpg
0061/LE,,Lione,post 1519,fregi,pelle,http://93.62.170.226/foto/61LEbis.jpg
0253/LE,,,XVI secolo,fregi,pelle,http://93.62.170.226/foto/253LE.jpg
0261/LE,,Venezia,XVI secolo,fregi / biga a due cavalli,pelle,http://93.62.170.226/foto/LE261bis.jpg
0260/LE,Villa Vittorio,,XVI secolo,fregi / biga a due cavalli,Marocchino,http://93.62.170.226/foto/260LE.jpg
0263/LE,,,XVI secolo,fregi / due quadrati che formano una stella,pelle,http://93.62.170.226/foto/LE263bis.jpg
0252/LE,,,XVI secolo,fregi / stemma / due scudi,pelle di scrofa,http://93.62.170.226/foto/252LE.jpg
0254/LE,,,XVI secolo,fregi a losanga / rosette,Marocchino,http://93.62.170.226/foto/LE254.jpg
0258/LE,Villa Vittorio,,XVI secolo,fregi a volute / biga a due cavalli,Marocchino,http://93.62.170.226/foto/LE258.jpg
0234/LE,,arte genovese,metà XVI secolo,fregio / vaso con vegetali stilizzati / scene della Passione,pelle,http://93.62.170.226/foto/LE234.jpg
1244/B,Belli Valerio,,1468 - post 1546,Gesù caccia i mercanti dal Tempio.,bronzo dorato,http://93.62.170.226/foto/1244_B.jpg
1308/B,Ignoto,,fine XVI secolo (?),Gesù con croce (recto) - Adorazione dei Pastori (verso).,bronzo,http://93.62.170.226/foto/1308_B recto.jpg
1176/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Gesù tra Maria e San Giovanni,Bronzo (?),http://93.62.170.226/foto/1176_B.jpg
1143/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Gesù tra Maria e San Giovanni,bronzo,http://93.62.170.226/foto/1143_B.jpg
1208/B,Galeazzo Mondella detto Moderno,,fine XV - inizio XVI secolo,Gesù tra Maria e San Giovanni,bronzo dorato (?),http://93.62.170.226/foto/1208_B.jpg
1146/B,Flötner Peter,,XVI secolo prima metà,Giaele,bronzo (?),http://93.62.170.226/foto/1146_B.jpg
1304/B,Ignoto,,,Giuditta con la testa di Oloferne.,bronzo,http://93.62.170.226/foto/1304_B 1.jpg
1142/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV - inizio XVI secolo,Giudizio di Paride,bronzo (?),http://93.62.170.226/foto/1142_B.jpg
1148/B,Belli detto Valerio Vicentino - Valerio,,1465 - post 1564,Giudizio di Paride,bronzo,http://93.62.170.226/foto/1148_B.jpg
1157/B,Belli detto Valerio Vicentino - Valerio,,1465 - post 1564,Giudizio di Paride,bronzo,http://93.62.170.226/foto/1157_B.jpg
1165/B,Scuola tedesca,,XVI secolo,Giudizio di Paride,bronzo dorato,http://93.62.170.226/foto/1165_B.jpg
1166/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Giudizio di Paride,bronzo (?),http://93.62.170.226/foto/1166_B.jpg
1105/B,Bernardi Giovanni o artista della Germania del Sud,,XVI secolo (?),Giudizio di Paride ?,bronzo,http://93.62.170.226/foto/1105_B.jpg
1095/B,Pseudo Melioli,,fine XV secolo,Giudizio di Salomone,Bronzo,http://93.62.170.226/foto/1095_B.jpg
1120/B,Ignoto,,XV secolo,Giulio Cesare,bronzo,http://93.62.170.226/foto/1120_B.jpg
1136/B,Ignoto,,XV secolo,Giulio Cesare,bronzo,http://93.62.170.226/foto/1136_B.jpg
1288/B,Scuola tedesca,,XVI secolo seconda metà,Guerriero a cavallo.,bronzo,http://93.62.170.226/foto/1288_B.jpg
0467/M,Jan Van Eyck,miniatori francesi e dei Paesi Bassi,XIV-XV secolo - XIX secolo,Heures de Milan - Heures de Turin-Milan (Très Belles Heures de Notre-Dame) - con legatura ottocentesca,tempera - oro e inchiostro su pergamena,http://93.62.170.226/foto/M467.jpg
,Ferrari Defendente,,,Incoronazione della Vergine,,http://93.62.170.226/foto/DOPO con cornice.jpg
1273/B,Ignoto,,fine XVI secolo (?),Incredulità di San Tommaso.,bronzo,http://93.62.170.226/foto/1273_B.jpg
1161/B,Flötner Peter,,XVI secolo prima metà,La Fede,bronzo (?),http://93.62.170.226/foto/1161_B.jpg
5,De Lonhy Antoine,,1462 -  1470,L'apostolo Pietro,tavole di pioppo dipinte a tempera e dorate,http://93.62.170.226/foto/San Pietro.jpg
1128/B,Ignoto,,fine XVI secolo (?),Leda e il cigno,Rame ?,http://93.62.170.226/foto/1128_B.jpg
945,,,XX secolo prima metà,Legatura ‘in stile’ firmata “Pio Colombo” su André-Charles Coppier - Les eaux fortes de Rembrandt,pelle - seta,http://93.62.170.226/foto/945Bbis.jpg
0198/LE,,,XVIII secolo,Legatura a busta alle armi su Le arme delle famiglie nobili di Siena,marocchino,http://93.62.170.226/foto/198LE.jpg
0073/LE,,arte italiana,XVIII secolo,Legatura a busta piemontese vuota,bazzana 'sbrinciata',http://93.62.170.226/foto/73LE.jpg
0092/LE,,arte genovese,XIX secolo,Legatura a busta su La gazza ladra,Raso - filati metallici - paillettes,http://93.62.170.226/foto/92LE.jpg
0229/LE,,,XVII secolo,Legatura a busta vuota alle armi sabaude,marocchino,http://93.62.170.226/foto/229LE.jpg
859,,,XVII secolo,Legatura a intarsi ‘à le Gascon’ su Psalmi - Proverbia - Ecclesiastes - Canticum Canticorum - Sapientia - Ecclesiasticus,marocchino - legno,http://93.62.170.226/foto/859.jpg
0196/LE,,,XVIII secolo,Legatura a pizzo su Giambattista Vicini,marocchino,http://93.62.170.226/foto/LE196.jpg
0247/LE,,arte piemontese,XVII secolo,Legatura ad armi della principessa Giuseppina di Lorena Armagnac su Gulielmii Budaei,pelle grassa,http://93.62.170.226/foto/LE247.jpg
0251/LE,,,XVII secolo,Legatura ad armi non identificate su Justus Lipsus,pelle,http://93.62.170.226/foto/LE251.jpg
0065/LE,,Madrid,XIX secolo,Legatura alle armi di Amedeo I di Savoia re di Spagna,Velluto di seta tagliato unito impresso,http://93.62.170.226/foto/LE65.jpg
0195/LE,,arte tedesca,XVIII secolo,Legatura alle armi di Carlo Teodoro maestro dell’Ordine di Sant’Uberto,marocchino,http://93.62.170.226/foto/LE195bis.jpg
0243/LE,,,fine XVI secolo,Legatura alle armi Farnese su Vittorio Carcano,pergamena,http://93.62.170.226/foto/LE243.jpg
0192/LE,,,XVII secolo,Legatura alle armi medicee su manoscritto con composizioni poetiche arcadiche,marocchino,http://93.62.170.226/foto/192LE.jpg
0231/LE,,arte toscana,XVII secolo,Legatura alle armi medicee su Paolo Olivesi,pelle,http://93.62.170.226/foto/LE231.jpg
0181/LE,,arte piemontese,XVIII secolo,Legatura alle armi sabaude su Anton Maria Carlevalis,marocchino,http://93.62.170.226/foto/LE181.jpg
0049/LE,,Torino,XIX secolo,Legatura alle armi sabaude su Attila. Dramma lirico,pelle,http://93.62.170.226/foto/49LE.jpg
0101/LE,,Torino,XIX secolo,Legatura alle armi sabaude su La gazza ladra melodramma musicato da Gioacchino Rossini,pelle,http://93.62.170.226/foto/LE 101.jpg
0175/LE,,Torino,XVIII secolo,Legatura alle armi sabaude su Reflexions sur la Theorie - & la Pratique de l’Education contre les principes de M. Rousseau,vitello,http://93.62.170.226/foto/LE175.jpg
0245/LE,,,XVII secolo,Legatura alle armi su Jean Etienne Duranti,marocchino,http://93.62.170.226/foto/LE245.jpg
949,,,XIX secolo,Legatura alle armi su Lorenzo Renaldi - Elogio funebre,Velluto di seta tagliato unito - impresso e dorato,http://93.62.170.226/foto/949.jpg
0038/LE,,arte siciliana,XIX secolo,Legatura alle armi su Notiziario del Regno di Sicilia per l’anno 1805,vitellino,http://93.62.170.226/foto/38LE.jpg
0213/LE,,,XVIII secolo,Legatura alle armi su P.G. Daniel,Bazzana,http://93.62.170.226/foto/LE213.jpg
0083/LE,,,XVIII secolo,Legatura archivistica vuota con superlibros del 1649,pelle,http://93.62.170.226/foto/LE83.jpg
0082/LE,,,XVIII secolo,Legatura archivistica vuota - superlibros 1726,pelle,http://93.62.170.226/foto/LE82.jpg
0239/LE,,arte genovese,XVII secolo,Legatura bolognese su manoscritto cartaceo con l’elenco di magistrati,pelle,http://93.62.170.226/foto/239LE.jpg
0457/M,,bottega francese,fine XVI - inizio XVII secolo,Legatura cinque-seicentesca su Heures a l'usage de Rome,pergamena - xilografia - tempera su pergamena,http://93.62.170.226/foto/M457bis.jpg
0468/M,,Francia settentrionale,fine XIII - XIV secolo,Legatura con calendario liturgico,cuoio - ottone - inchiostro su pergamena,http://93.62.170.226/foto/0468M_Bbis.jpg
0106/LE,,arte italiana,XIX secolo,Legatura con decoro alla piastra su Tommaso Grossi e Bartolomeo Sestini - con astuccio,pelle,http://93.62.170.226/foto/106LE (2).jpg
0093/LE,,arte genovese,XIX secolo,Legatura con le cifre coronate di Carlo Felice di Savoia su Ser Marcantonio - dramma giocoso per musica,velluto di seta tagliato unito - paillettes e filati argentati - lamina metallica laccata,http://93.62.170.226/foto/LE93.jpg
864,,,XIX secolo,Legatura con monogramma coronato e arma sabauda su Saint François de Sales,seta marezzata,http://93.62.170.226/foto/864.jpg
865,,,XIX secolo,Legatura con monogramma coronato su Giovanni Spano, Taffetas marezzato e dipinto - carta pressata e dorata,http://93.62.170.226/foto/865.jpg
0104/LE,,arte siciliana,XIX secolo,Legatura d’almanacco su Calendario per l’anno 1811,pelle,http://93.62.170.226/foto/LE104Bbis.jpg
0055/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi a pizzo su Reglement pour l’exercise de l’infanterie,marocchino,http://93.62.170.226/foto/55LE.jpg
0074/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi di Vittorio Amedeo III su Leggi e Costituzioni di Sua Maestà,marocchino,http://93.62.170.226/foto/LE74&75.jpg
0075/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi di Vittorio Amedeo III su Leggi e Costituzioni di Sua Maestà,marocchino,http://93.62.170.226/foto/LE74&75.jpg
0091/LE,,Torino,XIX secolo,Legatura della Bottega dei Regi Archivi alle armi di Vittorio Emanuele I,pelle,http://93.62.170.226/foto/91LEBbis.jpg
0155/LE,,Torino,XVIII secolo,Legatura della Bottega dei Regi Archivi alle armi sabaude,marocchino,http://93.62.170.226/foto/LE155.jpg
