Autore,Titolo,Datazione,Tecnica,Dimensioni,Immagine
"","Vajrapāṇi","XIX secolo","fusione in lega di rame e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/880_Hb22.jpg"
"","Vajrapāṇi","XVIII secolo","fusione in lega di rame - doratura a freddo e pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/881_Hb23.jpg"
"","Yamāntaka","XVIII secolo","fusione in lega di rame - doratura a fuoco e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/882_Hb24.jpg"
"","Ṣaḍbhuja Jñāna Mahākāla","XVIII secolo","fusione in lega di rame - doratura a fuoco - pigmenti e vetri incastonati","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/883_Hb25.jpg"
"","Guhyanidhidara Mahākāla","XVIII-XIX secolo","fusione in lega di rame - doratura a fuoco - pigmenti e vetri incastonati","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/884_Hb26.jpg"
"","Vajrapāṇi","XIX secolo","fusione in lega di rame - doratura a fuoco - pigmenti e vetri incastonati","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/885_Hb27.jpg"
"","Cakrasamvara e Vajravārāhī","XIX secolo","fusione in lega di rame - parziale doratura - pigmenti e perle di pasta vitrea","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/886_Hb28.jpg"
"","Amitayus","XVIII secolo - seconda metà","fusione in lega di rame - doratura a fuoco","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/887_Hb29.jpg"
"","Baiṣajyaguru - Il Buddha della Medicina","XIV-XV secolo","fusione in bronzo - doratura e pigmento azzurro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/888_Hb03.jpg"
"","Amitābha","XVIII secolo - seconda metà","fusione in lega di rame - doratura a fuoco e gemme policrome","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/889_Hb30.jpg"
"","Il bodhisattva Maitreya","XVII secolo","fusione in bronzo dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/890_Hb31.jpg"
"","Tsong-kha-pa","XVII secolo","lega di rame sbalzato e dorato a fuoco","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/891_Hb32.jpg"
"","bsTan-'dzin-lhun-grub","XVII-XVIII  secolo","fusione di lega in rame dorato a fuoco","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/892_Hb33.jpg"
"","Vajravārāhī","XVIII-XIX secolo","fusione in bronzo - doratura e pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/893_Hb34.jpg"
"","Dharmadhātuvāgīśvara Mañjuśrī","XIX secolo","fusione in lega di rame - doratura a fuoco e pasta vitrea","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/894_Hb35.jpg"
"","Sostegno in forma di ḍākinī","XV secolo -  seconda metà","fusione in bronzo dorato e turchesi","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/895_Hb36.jpg"
"","Fregio con piccole divinità","XV secolo","fusione in bronzo dorato - con turchesi e coralli","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/896_Hb37.jpg"
"","Frammento di prabhāmaṇḍala","XV secolo","fusione di lega in rame dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/897_Hb38.jpg"
"","Frammento di piastra decorativa","XV secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/898_Hb39.jpg"
"","Lokapāla Virūḍhaka","XV secolo - prima metà","fusione in lega di rame - doratura e pietre semipreziose ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/899_Hb04.jpg"
"","Frammento di piastra decorativa","XV secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/900_Hb40.jpg"
"","Mandorla e Prabhāmaṇḍala","XV secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/901_Hb41.jpg"
"","Frammento di prabhāmaṇḍala","XVII secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/902_Hb42.jpg"
"","Disco con simboli del cakravartin","XIV secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/903_Hb43.jpg"
"","Testa di Bhairava","XVII secolo","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/904_Hb44.jpg"
"","Jambhala","XV secolo","bronzo sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/905_Hb45.jpg"
"","Stūpa con i Buddha cosmici","XVII secolo - seconda metà","lega di rame sbalzato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/906_Hb46-a.jpg"
"","Padmapāṇi","XIV secolo","fusione in lega di rame - doratura e gemme in pasta vitrea","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/907_Hb47.jpg"
"","Akṣobhya","XIV secolo","fusione in bronzo e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/908_Hb48.jpg"
"","Torso di Padmapāṇi","XII secolo","fusione in bronzo con argento e intarsio di rame","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/909_Hb49.jpg"
"","Quattro ḍākinī","XV secolo","fusione in lega di rame - doratura - turchesi e pietre semipreziose","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/910_Hb05.jpg"
"","Due divinità minori del ciclo di Cakrasaṃvara","XV secolo - prima metà","fusione in bronzo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/911_Hb06.jpg"
"","Lama mkha'-spyod-dbang-po","XV secolo","fusione in lega di rame e doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/912_Hb07.jpg"
"","Akṣobhya","XV secolo","fusione in bronzo e doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/913_Hb08.jpg"
"","Thang-stong-rgyal-po","XV secolo - seconda metà","fusione in bronzo e pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/914_Hb09.jpg"
"","Manoscritto storico agiografico incompleto","XVI secolo","legno
Tecnica: intaglio - doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/915_Hc_27.D.jpg"
"","Prajñaparamita con i Buddha delle Dieci Direzioni","XII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/916_Hc1.jpg"
"","Prajñaparamita - Sakyamuni e Tara","XIII/ XIV secolo","legno
Tecnica: intaglio altorilievo - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/917_Hc10.jpg"
"","Figura del Buddha Sakyamuni in samadhimudra","XIV secolo","legno
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/918_Hc11.jpg"
"","I Buddha delle epoche passate","XIV secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/919_Hc12.jpg"
"","Due pavoni dal collo intrecciato","XIV secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/920_Hc13.jpg"
"","Jambala-Kudera con i Re Guardiani","XIV secolo","legno
Tecnica: intaglio in altorilievo - doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/921_Hc14.jpg"
"","Prajñaparamita - Sakyamuni e Bhai¦ajyaguru","XV secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/922_Hc15.jpg"
"","Sakyamuni - Padmapani - Vajrasattva (?)","XV secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/923_Hc16.jpg"
"","Uṣṇīṣavijayā e stūpa dorati","XV secolo","legno
Tecnica: doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/924_Hc17.jpg"
"","Prajñaparamita fra Vairocana e Sakyamuni","XIV secolo","legno
Tecnica: intaglio - doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/925_Hc18.jpg"
"","Prajñaparamita - Sakyamuni e Bhai¦ajyaguru","XIV secolo","legno
Tecnica: intaglio - doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/926_Hc19.jpg"
"","I Cinque Jina","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/927_Hc2.jpg"
"","Prajñaparamita fra Sakyamuni e Vairocana","XIII/ XIV secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/928_Hc20.jpg"
"","Prajñaparamita fra Amitayus e Sakyamuni ","XV secolo","legno
Tecnica: intaglio - doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/929_Hc21.jpg"
"","Sakyamuni e i sei Buddha del Passato","XIV/ XV secolo","legno
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/930_Hc22.jpg"
"","Gli otto Buddha della Medicina","XV secolo","legno
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/931_Hc23.jpg"
"","Saptamātṛkā ","XI secolo","legno
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/932_Hc24.jpg"
"","Acala e le Pañcaraksa","XIII secolo","legno - foglia di palma
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/933_Hc25.jpg"
"","Siddha e abati Kar-ma-pa","XV sec. - inizio","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/934_Hc26a.jpg"
"","Padmasambhava e le sue compagne tantriche","XV sec. - inizio","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/935_Hc26b.jpg"
"","Sakyamuni e i simboli buddisti","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/936_Hc3.jpg"
"","Copertina lignea dorata e dipinta a losanghe e gioielli","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/937_Hc4.jpg"
"","Hayagriva secondo Atisa","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/938_Hc5.jpg"
"","Copertina lignea decorata a stelle e losanghe","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/939_Hc6.jpg"
"","Coppia di yogi e viluppi vegetali","XIII secolo","legno
Tecnica: intaglio - doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/940_Hc7.jpg"
"","Tre rondelle con animali reali e fantastici","XIII/ XIV","legno
Tecnica: doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/941_8.jpg"
"","Losanghe variamente decorate","XIII/ XIV","legno
Tecnica: doratura - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/942_Hc9.jpg"
"","Lama dGe-lugs-pa (Tsong-kha-pa?)","XVII secolo","legno scolpito - laccato e dorato con tracce di pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/943_Hl_01.D_3401.jpg"
"","Torana","XVII secolo","legno scolpito con tracce di policromia","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/944_Hl_10_0C8D.jpg"
"","Mahakala","XVII secolo-XVIII","legno scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/945_Hl_11_E7AE.jpg"
"","Vishnu su Garuda","XVII secolo","legno scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/946_Hl_12_CAEA.jpg"
"","Akshobhya","XVII secolo","legno scolpito - laccato con tracce di doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/947_Hl_02.D_FBA4.jpg"
"","Samurai (?) e fanciulla con cestino","seconda metà XVIII sec.","silografia su carta - benizuri-e o sumizuri-e dipinta a mano","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/975_02.JPG"
"","Con l'ombrello sotto la neve","prima metà XIX sec.","silografia su carta - nishiki-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/976_20.JPG"
"","Sotto la neve con l'ombrello","prima metà XIX sec.","silografia su carta - nishiki-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/977_21.JPG"
"","Mattonella esagonale blu e bianca","XV I quarto","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1107_49.jpg"
"","Mattonella blu e bianca a forma esagonale ","XV I quarto","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1108_50.jpg"
"","Coppa mina'icon decorazioni geometriche ed epigrafiche","1200 ca. ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1109_51.jpg"
"","Mattonella con un grappolo d'uva","XVI/ XVII ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1110_52.jpg"
"","Pannello di piastrelle","1550 ca. ","ceramica invetriata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1111_53.jpg"
"","Pannello di piastrelle","XVI/ XVII fine/ inizio","ceramica invetriata - pannello costituito da dieci mattonelle","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1112_54.jpg"
"","Coppa invetriata blu","1100/ 1200 ","ceramica invetriata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1113_55.jpg"
"","Brocca invetriata turchese","1100/ 1200 ","ceramica invetriata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1114_56.jpg"
"","Vaso","1100/ 1200 ","ceramica invetriata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1115_57.jpg"
"","Piastrella invetriata","1550 ca. ","ceramica ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1116_58.jpg"
"","Brocca","1535/ 45 ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1117_59.jpg"
"","Piatto con con nuvole cinesi sul bordo","1510/ 15 ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1118_60.jpg"
"","Piatto invetriato policromo","1575/ 80 ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1119_61.jpg"
"","Piatto invetriato policromo","1580/ 90 ","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1120_62.jpg"
"","Piatto "kubachi"","XVII prima metà","ceramica","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1121_63.jpg"
"","Dama di corte con tunica decorata a fiori","VIII secolo d.C","terracotta rosso-bruno con ingobbio bianco e policromia","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1301_Cc17.jpg"
"","Dama di corte con scollo a "V"","secondo quarto VIII secolo d.C. (?)","terracotta arancione - ingobbio bianco e pigmenti
","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1302_Cc16.jpg"
"","Dama di corte con cintura","VIII secolo d.C. (?)","terracotta rossa - ingobbio bianco e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1303_Cc15.jpg"
"","Figura di danzatrice (?) di grandi dimensioni","metà VIII secolo d.C. (?)","terracotta marrone-rosata - con ingobbio chiaro (o doppio ingobbio) e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1304_Cc14.jpg"
"","Vaso 'jian' per riscaldare o raffreddare il vino di cereali","prima metà del V secolo a.C.","bronzo fuso in matrici - applicazioni in lamina di rame rosso. L'apparente assenza dell'incasso per l'intarsio delle lamine suggerisce che esse siano state fatte aderire a caldo sulla superficie dell'oggetto.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1333_Cb07.jpg"
"","Vaso tripode 'ding' per le offerte di carne con pancia emisferica","VIII secolo a.C. ca.
","bronzo fuso in quattro matrici principali","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1334_Cb06.jpg"
"","Vaso tripode 'ding' per le offerte di carne con piedi cilindrici","IX secolo a.C. ca.","bronzo fuso in matrici (visibile soltanto il segno di quella corrispondente al fondo del recipiente)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1335_Cb05.jpg"
"","Vaso 'gui' per le offerte di granaglie","XI secolo a.C.","bronzo fuso in matrici (sezioni non visibili)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1336_Cb04.jpg"
"","Cavallo con decorazione a nastri e nappe","II – inizio I secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzato con stampi assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1422_Cc52.jpg"
"","Cavallo con motivi di redini e nastri","II – inizio I secolo a.C.","Terracotta grigia - ingobbio beige e pigmenti policromi. Realizzato con stampi assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1423_Cc53.jpg"
"","Cavallo con ornamenti a nastri e losanghe","II – inizio I secolo a.C.","Terracotta grigia - ingobbio bianco-crema e pigmenti policromi. Realizzato con stampi assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1424_Cc54.jpg"
"","Cavallo con decorazione a nastri e cavaliere","II – inizio I secolo a.C.","Terracotta grigia - ingobbio bianco e pigmenti policromi. Realizzato con stampi assemblati.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1425_Cc55.jpg"
"","inrō con farfalle tra l’erba","fine XVII - inizi XVIII sec.","Legno laccato con originale doratura superficiale - decorazione in madreperla e oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1464_Ja16.jpg"
"","Personaggio femminile con lampada","prima metà XIX sec.","silografia su carta - nishiki-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/969_14.JPG"
"","Donna con barche sullo sfondo","prima metà XIX sec.","silografia su carta - benizuri-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/970_15.JPG"
"","Samurai in posizione di lotta","prima metà XIX sec.","silografia su carta - nishiki-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/971_16.JPG"
"","Fanciulla con gabbiani e motivi ondulati","prima metà XIX sec.","silografia su carta - nishiki-e con oro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1049_85.JPG"
"","Scatola di legno con furoshiki e legno aromatico","metà XIX sec.","silografia su carta - nishiki-e","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1050_86.JPG"
"","Bambù e fiori di susino","seconda metà XIX sec.","silografia su carta - nishiki-e con oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1051_87.JPG"
"","Vaso 'hu' a due anse invetriato","I secolo a.C. - primo quarto I secolo d.C.","Terracotta dura ad impasto grigio con invetriatura verde oliva screziata di giallo. Lavorazione al tornio.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1353_Cv66.jpg"
"","Vaso 'hu' con fascia decorativa","seconda metà I secolo a.C.","terracotta rossa con invetriatura piombifera.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1354_Cv65.jpg"
"","Vaso a forma d'oca","II - I secolo a.C.","Terracotta grigia dipinta dopo la cottura.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1355_Cv64.jpg"
"","Grande vaso con tappo a forma di uomo grottesco","II secolo d.C. (?)","Terracotta marrone-grigia con tracce di pigmento bianco (?). Lavorazione al tornio e rifiniture con la moletta.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1356_Cv63temp.jpg"
"","Frammento di stipite con scene sovrapposte","I-II secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1881_6DEV8659.jpg"
"","Due devoti","I-II secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1882_6DEV8502.jpg"
"","Buddha assiso sotto un albero - sconfitta di Māra?","I-II secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1883_6DEV8693.jpg"
"","Buddha assiso sotto un albero di pīpal – invito di Indra e Brahmā alla predicazione ?","I secolo d.C.","Scisto scolpito a rilievo ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1885_6DEV8762.jpg"
"","Buddha su sfondo a foglia lanceolata e due Bodhisattva","fine VI - inizi VII secolo d.C.","bronzo a patina bruna - parzialmente dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2083_Cs04.jpg"
"","Testa d'ascia a codolo di tipo 'yue'","XIII-XII secolo a.C.","bronzo a patina verde scuro e nero argentato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2049_Cb33.jpg"
"","Testa d'ascia di tipo 'yue' con maschere zoomorfe","ca. XII secolo a.C.","bronzo a patina verde chiaro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2085_Cb34.jpg"
"","Testa d'ascia a mezzaluna di derivazione 'yue'","XI-X secolo a.C.","bronzo a patina verde molto scura - nera in alcuni punti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2086_Cb35.jpg"
"","Sonaglio di carro","X-VIII secolo a.C.","bronzo a patina ambrata e argentata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2115_Cb60c.jpg"
"","Sonaglio di carro","X-VIII secolo a.C.","bronzo a patina ambrata e argentata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2116_Cb60d.jpg"
"","Sonaglio di carro","X-VIII secolo a.C.","bronzo a patina ambrata e argentata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2117_Cb60e.jpg"
"","Sonaglio di carro","X-VIII secolo a.C.","bronzo a patina ambrata e argentata","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2118_Cb60f.jpg"
"","I monaci zen Kanzan e Jittoku","fine XVI - inizio XVII sec.","inchiostro su carta","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2309_Jd03b.jpg"
"","Daruma con veste rossa e iscrizione calligrafica","XVII sec.","inchiostro e colori su seta indaco. Le due estremità del bastone sono laccate nere.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2309_Jd04.jpg"
"","Daruma e iscrizione calligrafica","fine XVIII sec.","inchiostro su carta","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/2311_Jd05.jpg"
"","inrō con prugno fiorito e luna piena","XVIII secolo","Legno laccato e dorato - decorazione in madreperla e lega metallica (peltro?)","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1465_Ja17.jpg"
"","inrō con due personaggi in un giardino","fine XVIII - inizi XIX sec.","Legno laccato e dorato - decorazione in oro - argento e lacca nera.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1466_Ja18.jpg"
"","inrō con airone e arcata di un ponte","fine XVII - inizi XVIII sec.","Legno laccato e dorato, decorazione in madreperla - lamina dorata (?) - lega metallica - pigmento rosso.","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/1467_Ja19.jpg"
"","Buddha Shakyamuni","XVII secolo","legno scolpito - laccato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/948_Hl_03.D_BEC7.jpg"
"","Supporto architettonico","XVII secolo","legno scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/949_Hl_04.D_74CF.jpg"
"","rNam-rgyal mchod-rten","XVII secolo","legno scolpito - laccato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/950_Hl_05.D_31AC.jpg"
"","Pad-spung mchod-rten","XVII secolo","legno scolpito e laccato con tracce di doratura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/951_Hl.06.jpg"
"","Lama rÑing -ma-pa","XVII-XVIII secolo","legno scolpito - laccato e dorato","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/952_Hl.07.jpg"
"","Vishnushakti e Accoliti","XVII secolo","legno scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/953_Hl_08_FD3B.jpg"
"","Garuda","XVII secolo","legno scolpito","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/954_Hl_09_1618.jpg"
"","Manoscritto della Prajñaparamita","XV sec. - inizio","carta tinta in nero indaco 
Tecnica: doratura in rilievo - pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/955_Hm1.jpg"
"","Manoscritto con doppia copertine lignea","XV/ XVI sec.","carta chiara
Tecnica: pittura","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/956_Hm2.jpg"
"","Khadga (Spada rituale)","XVII secolo","lega di rame - ferro e oro","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/957_Hr_01.D_7062.jpg"
"","Homa (mestolo rituale)","XV secolo - prima metà","ferro - oro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/958_Hr_02_AD07.jpg"
"","Vajra Hammer (martello)","XV secolo","ferro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/959_Hr_03_4624.jpg"
"","Khatvanga (scettro rituale)","XVI secolo ca.","ferro - oro e argento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/960_Hr_04_F78F.jpg"
