Autore,Titolo,Datazione,Tecnica,Dimensioni,Immagine
GABINIO MARIO,"TORINO/ M.TO ALL'ARTIGLIERIA/(DA FIANCO SIN)"" . TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO SINISTRO""",1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,226X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B6.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO DESTRO,1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,225X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B7.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO DESTRO - PARTICOLARE,1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,225X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B8.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO DESTRO - PARTICOLARE DELL FONTANA CON BAMBINA SEDUTA,1930post,STAMPA ALLA GELATINA CLORURO D'ARGENTO,231X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B9.jpg
GABINIO MARIO,RAMO FIORITO DI PASSIFLORA,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO,234X172,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P1.jpg
GABINIO MARIO,TORINO - AIUOLA CON MARGHERITE FIORITE,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,168X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P10.jpg
GABINIO MARIO,TORINO - AIUOLA CON MARGHERITE FIORITE,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P11.jpg
GABINIO MARIO,TORINO - AIUOLA CON MARGHERITE FIORITE,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,228X167,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P12.jpg
GABINIO MARIO,FIORE DI PASSIFLORA,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,223X174,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P2.jpg
GABINIO MARIO,RAMO FIORITO DI PASSIFLORA,1930c,"STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO GEVAERT""""",234X174,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003P3.jpg
GABINIO MARIO,TORINO - MONUMENTO A PIETRO MICCA - GIARDINO DELLA CITTADELLA,03/05/1924,STAMPA AL CITRATO,230X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004B1.jpg
GABINIO MARIO,TORINO - MONUMENTO A PIETRO MICCA - GIARDINO DELLA CITTADELLA,29/05/1926,STAMPA AL CITRATO,228X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004B2.jpg
GABINIO MARIO,TORINO - MONUMENTO A PIETRO MICCA - GIARDINO DELLA CITTADELLA - PARTICOLARE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,111X86,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004B3.jpg
GABINIO MARIO,TORINO - AIUOLA CON CRISANTEMI FIORITI,1930c,"STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO TONELLE""""",234X174,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004P11.jpg
GABINIO MARIO,TORINO - AIUOLA CON CRISANTEMI FIORITI,1930c,"STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO TONELLE""""",174X236,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004P12.jpg
GABINIO MARIO,CRISANTEMI FIORITI,1930c,"STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO TONELLE""""",176X237,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004P13.jpg
GABINIO MARIO,VASO DI CRISANTEMI,1930c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,233X174,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004P14.jpg
GABINIO MARIO,TORINO - GIARDINI SAMBUY - PIAZZA CARLO FELICE - ORTENSIE FIORITE,1935c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/004P15.jpg
GABINIO MARIO,TORINO - MONUMENTO A CESARE BATTISTI CON LA CITTADELLA SULLO SFONDO,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/005B1.jpg
GABINIO MARIO,TORINO - MONUMENTO A CESARE BATTISTI - GIARDINO DELLA CITTADELLA,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/005B2.jpg
GABINIO MARIO,TORINO - MONUMENTO A CESARE BATTISTI - GIARDINO DELLA CITTADELLA,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/005B3.jpg
GABINIO MARIO,TORINO - MONUMENTO A CESARE BATTISTI - GIARDINO DELLA CITTADELLA,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,231X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/005B4.jpg
GABINIO MARIO,TORINO - MONUMENTO ALLA SPEDIZIONE DI CRIMEA - PIAZZA CRIMEA - VISTA FRONTALE,27/07/1924,STAMPA AL CITRATO,227X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006B1.jpg
GABINIO MARIO,TORINO - MONUMENTO ALLA SPEDIZIONE DI CRIMEA - PIAZZA CRIMEA - VISTA DI 3/4 ANTERIORE,14/08/1924,STAMPA AL CITRATO,229X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006B2.jpg
GABINIO MARIO,TORINO - VEDUTA DA PONTE MOSCA VERSO EST LUNGO LA DORA,29/08/1924,STAMPA AL CITRATO,169X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P12.jpg
GABINIO MARIO,TORINO - VEDUTA DAL GRETO DI UN FIUME IN SECCA NON IDENTIFICATO - CON EDIFICI INDUSTRIALI SULLO SFONDO,1925c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P13.jpg
GABINIO MARIO,TORINO - ZONA VANCHIGLIA - VEDUTA VERSO OVEST DALLA SPONDA DESTRA DEL FIUME DORA - CON LA CHIESA DI SANTA CROCE IN SECONDO PIANO,1927c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,167X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P14.jpg
GABINIO MARIO,TORINO - ZONA VANCHIGLIA - VEDUTA VERSO OVEST DAL FIUME DORA - CON LA CHIESA DI SANTA CROCE ED IL PONTE EMANUELE FILIBERTO IN SECONDO PIANO,16/04/1927,STAMPA AL CITRATO,228X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P15.jpg
GABINIO MARIO,TORINO - IL PO A VALLE DI PONTE VITTORIO EMANUELE I,1935c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,168X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P16.jpg
GABINIO MARIO,TORINO - IL PO A VALLE DI PONTE VITTORIO EMANUELE I,1935c,"STAMPA ALLA GELATINA CLOROBROMURO D'ARGENTO ILFORD CLORONA""""",171X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P17.jpg
GABINIO MARIO,TORINO - IL PO A VALLE DI PONTE VITTORIO EMANUELE I CON LE CASE DI LUNGO PO MACHIAVELLI SULLO SFONDO,1935c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P18.jpg
GABINIO MARIO,TORINO - IL PO A VALLE DI PONTE VITTORIO EMANUELE I CON LE CASE DI CORSO CASALE SULLO SFONDO,1935c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,168X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P19.jpg
GABINIO MARIO,TORINO - VEDUTA DALLA SPONDA DESTRA DEL PO A VALLE DI PONTE ISABELLA,09/05/1924,"STAMPA AL CITRATO LEONARD""""",169X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/006P20.jpg
GABINIO MARIO,TORINO - MONUMENTO AL TRAFORO DEL FREJUS - PIAZZA STATUTO,24/06/1924,STAMPA AL CITRATO,222X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007B1.jpg
GABINIO MARIO,TORINO - VEDUTA DI PIAZZA STATUTO COL MONUMENTO AL TRAFORO DEL FREJUS,03/10/1924,STAMPA AL CITRATO,227X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007B2.jpg
GABINIO MARIO,TORINO - VEDUTA DEL MONTE DEI CAPPUCCINI DA SUD - DA CORSO FIUME,05/11/1922,STAMPA AL CITRATO,170X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P1.jpg
GABINIO MARIO,TORINO - VEDUTA DEL MONTE DEI CAPPUCCINI DA VIALE VIRGILIO - ALL'ALTEZZA DEL PONTE UMBERTO I,14/05/1925,STAMPA ALLA CELLOIDINA,169X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P19.jpg
GABINIO MARIO,TORINO - VEDUTA DEL MONTE DEI CAPPUCCINI DA SUD - DA CORSO FIUME,05/11/1922,STAMPA AL CITRATO,169X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P2.jpg
GABINIO MARIO,TORINO - VEDUTA DEL MONTE DEI CAPPUCCINI DA VIALE VIRGILIO - ALL'ALTEZZA DEL PONTE UMBERTO I,12/06/1925,STAMPA ALLA CELLOIDINA,169X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P20.jpg
GABINIO MARIO,TORINO - VEDUTA DEL MONTE DEI CAPPUCCINI DA VIALE VIRGILIO,12/06/1925,STAMPA ALLA CELLOIDINA,167X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P21.jpg
GABINIO MARIO,TORINO - VEDUTA DELLA COLLINA DALLA SPONDA SINISTRA DEL PO AL PARCO DEL VALENTINO,05/05/1926,"STAMPA ALLA GELATINA BROMURO D'ARGENTO CAMOSCIO ILFORD""""",169X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P23.jpg
GABINIO MARIO,TORINO -  SPONDA DESTRA DEL PO TRA PONTE UMBERTO I E PONTE VITTORIO EMANUELE I - COL MONTE DEI CAPPUCCINI IN SECONDO PIANO,1932c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,171X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P24.jpg
GABINIO MARIO,TORINO - SPONDA DESTRA DEL PO - LA SEDE DELLA SOCIETA' ESPERIA COL MONTE DEI CAPPUCCINI IN SECONDO PIANO,1932c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/007P25.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA,09/06/1924,STAMPA AL CITRATO,82X117,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B1.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - LATO DESTRO,09/06/1924,STAMPA AL CITRATO,117X82,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B2.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - LATO SINISTRO,08/10/1924,STAMPA AL CITRATO,169X120,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B3.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - VISTA DAL BASSO,1924post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,118X86,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B4.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - VISTA DAL BASSO,1924post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,118X82,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B5.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - VISTA DAL BASSO,1924post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,235X175,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B6.jpg
GABINIO MARIO,TORINO - MONUMENTO AD ALESSANDRO LAMARMORA - VIA CERNAIA - GIARDINI LAMARMORA - VISTA DAL BASSO,1924post,STAMPA ALLA GELATINA CLORURO D'ARGENTO,236X173,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008B7.jpg
GABINIO MARIO,TORINO - PANORAMA DELLA CITTA' DALLA SPONDA DESTRA DEL PO ALL'ALTEZZA DI PONTE UMBERTO I,1925c,STAMPA AL CITRATO,169X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P12.jpg
GABINIO MARIO,TORINO - VEDUTA DELLA SPONDA DESTRA DEL PO DAL PARCO DEL VALENTINO,26/09/1923,STAMPA AL CITRATO,168X225,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P13.jpg
GABINIO MARIO,TORINO - VEDUTA DELLA SPONDA DESTRA DEL PO DAL PARCO DEL VALENTINO,04/04/1924,STAMPA ALLA CELLOIDINA,170X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P14.jpg
GABINIO MARIO,TORINO - VEDUTA DEL PARCO DEL VALENTINO DALLA SPONDA DESTRA DEL PO - DA LUNGO PO SARDEGNA,05/11/1922,STAMPA AL CITRATO,171X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P15.jpg
GABINIO MARIO,TORINO - I MURAZZI DEL PO A VALLE DI PONTE UMBERTO I - VISTI DA NORD - DA  PONTE VITTORIO EMANUELE I,1930 ante,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X224,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P16.jpg
GABINIO MARIO,TORINO - I MURAZZI DEL PO A VALLE DI PONTE UMBERTO I - VISTI DA SUD - CON  PONTE VITTORIO EMANUELE I SULLO SFONDO,1930 ante,STAMPA ALLA GELATINA BROMURO D'ARGENTO,168X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P17.jpg
GABINIO MARIO,TORINO - ZONA VANCHIGLIA - VEDUTA VERSO OVEST DAL FIUME DORA - CON LA CHIESA DI SANTA CROCE ED IL PONTE EMANUELE FILIBERTO IN SECONDO PIANO,1927c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P18.jpg
GABINIO MARIO,TORINO - CORSO MORTARA? - LAVORI DI CANALIZZAZIONE AL FIUME DORA,1930-1933,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P19.jpg
GABINIO MARIO,TORINO - VEDUTA DEI MURAZZI IN SPONDA SINISTRA DEL PO DA PONTE UMBERTO I,07/06/1924,STAMPA ALLA CELLOIDINA?,166X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/008P5.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DI 3/4 ANTERIORE,30/06/1923,STAMPA AL CITRATO,230X171,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B1.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DEL GRUPPO SCULTOREO BASAMENTALE POSTERIORE -,30/06/1923,STAMPA AL CITRATO,169X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B2.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DI 3/4 ANTERIORE DESTRA,30/06/1923,STAMPA AL CITRATO,168X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B3.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DI 3/4 ANTERIORE,1923,STAMPA AL CITRATO,168X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B4.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DEL GRUPPO SCULTOREO BASAMENTALE -LATO DESTRO,30/06/1923,STAMPA AL CITRATO,168X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B5.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO - VISTA DEL GRUPPO SCULTOREO BASAMENTALE -LATO DESTRO,1923,STAMPA AL CITRATO,168X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B6.jpg
GABINIO MARIO,TORINO - MONUMENTO AL PRINCIPE AMEDEO DI SAVOIA - DUCA D'AOSTA - PARCO DEL VALENTINO E PADIGLIONE DELLA MOSTRA INTERNAZIONALE DI EDILIZIA,1926,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009B7.jpg
GABINIO MARIO,"TORINO - PIAZZA CARLO EMANUELE II - CARLINA"" - VEDUTA COL MONUMENTO A CAMILLO BENSO CONTE DI CAVOUR - IL COMPLESSO DI SANTA CROCE (CASA DEL SOLDATO) E L'EX ALBERGO DI VIRTU'""",15/10/1925,STAMPA ALLA CELLOIDINA,168X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009P11.jpg
GABINIO MARIO,TORINO - CHIESA DI SAN TOMMASO - VIA PIETRO MICCA - VISTA FRONTALE,1924c,STAMPA ALLA CELLOIDINA,227X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009P13.jpg
GABINIO MARIO,"S.TOMMASO"". TORINO - CHIESA DI SAN TOMMASO - VIA PIETRO MICCA - VISTA DI SCORCIO DA NORD""",24/07/1924,STAMPA AL CITRATO,227X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/009P14.jpg
